model_a,model_b,overlap_question_count,joined_prompt_overlap_count,union_question_count,jaccard_overlap
DeepSeek-Coder-V2-Lite-Instruct,DeepSeek-R1-Distill-Qwen-32B,218,218,394,0.5532994923857868
DeepSeek-Coder-V2-Lite-Instruct,DeepSeek-V2-Lite-Chat,294,294,294,1.0
DeepSeek-Coder-V2-Lite-Instruct,Dracarys2-72B-Instruct,0,0,394,0.0
DeepSeek-Coder-V2-Lite-Instruct,Llama-2-7b-chat-hf,294,294,294,1.0
DeepSeek-Coder-V2-Lite-Instruct,Llama-3.1-Nemotron-70B-Instruct-HF,0,0,394,0.0
DeepSeek-Coder-V2-Lite-Instruct,Meta-Llama-3-70B-Instruct,294,294,294,1.0
DeepSeek-Coder-V2-Lite-Instruct,Meta-Llama-3-8B-Instruct,294,294,294,1.0
DeepSeek-Coder-V2-Lite-Instruct,Meta-Llama-3.1-405B-Instruct-Turbo,294,294,294,1.0
DeepSeek-Coder-V2-Lite-Instruct,Meta-Llama-3.1-70B-Instruct-Turbo,294,294,294,1.0
DeepSeek-Coder-V2-Lite-Instruct,Meta-Llama-3.1-8B-Instruct-Turbo,294,294,294,1.0
DeepSeek-Coder-V2-Lite-Instruct,Mistral-7B-Instruct-v0.2,294,294,294,1.0
DeepSeek-Coder-V2-Lite-Instruct,Mistral-7B-Instruct-v0.3,294,294,294,1.0
DeepSeek-Coder-V2-Lite-Instruct,Mixtral-8x22B-Instruct-v0.1,254,254,294,0.8639455782312925
DeepSeek-Coder-V2-Lite-Instruct,Mixtral-8x7B-Instruct-v0.1,254,254,294,0.8639455782312925
DeepSeek-Coder-V2-Lite-Instruct,OpenHermes-2.5-Mistral-7B,294,294,294,1.0
DeepSeek-Coder-V2-Lite-Instruct,Phi-3-medium-128k-instruct,294,294,294,1.0
DeepSeek-Coder-V2-Lite-Instruct,Phi-3-medium-4k-instruct,294,294,294,1.0
DeepSeek-Coder-V2-Lite-Instruct,Phi-3-mini-128k-instruct,294,294,294,1.0
DeepSeek-Coder-V2-Lite-Instruct,Phi-3-mini-4k-instruct,294,294,294,1.0
DeepSeek-Coder-V2-Lite-Instruct,Phi-3-small-128k-instruct,294,294,294,1.0
DeepSeek-Coder-V2-Lite-Instruct,Phi-3-small-8k-instruct,294,294,294,1.0
DeepSeek-Coder-V2-Lite-Instruct,Phi-3.5-MoE-instruct,294,294,294,1.0
DeepSeek-Coder-V2-Lite-Instruct,Phi-3.5-mini-instruct,294,294,294,1.0
DeepSeek-Coder-V2-Lite-Instruct,QwQ-32B-Preview,218,218,394,0.5532994923857868
DeepSeek-Coder-V2-Lite-Instruct,Qwen1.5-0.5B-Chat,294,294,294,1.0
DeepSeek-Coder-V2-Lite-Instruct,Qwen1.5-1.8B-Chat,294,294,294,1.0
DeepSeek-Coder-V2-Lite-Instruct,Qwen1.5-110B-Chat,294,294,294,1.0
DeepSeek-Coder-V2-Lite-Instruct,Qwen1.5-4B-Chat,294,294,294,1.0
DeepSeek-Coder-V2-Lite-Instruct,Qwen1.5-72B-Chat,294,294,294,1.0
DeepSeek-Coder-V2-Lite-Instruct,Qwen1.5-7B-Chat,294,294,294,1.0
DeepSeek-Coder-V2-Lite-Instruct,Qwen2-0.5B-Instruct,294,294,294,1.0
DeepSeek-Coder-V2-Lite-Instruct,Qwen2-1.5B-Instruct,294,294,294,1.0
DeepSeek-Coder-V2-Lite-Instruct,Qwen2-72B-Instruct,294,294,294,1.0
DeepSeek-Coder-V2-Lite-Instruct,Qwen2-7B-Instruct,294,294,294,1.0
DeepSeek-Coder-V2-Lite-Instruct,Qwen2.5-72B-Instruct-Turbo,294,294,394,0.7461928934010152
DeepSeek-Coder-V2-Lite-Instruct,Qwen2.5-7B-Instruct-Turbo,294,294,394,0.7461928934010152
DeepSeek-Coder-V2-Lite-Instruct,Qwen2.5-Coder-32B-Instruct,294,294,394,0.7461928934010152
DeepSeek-Coder-V2-Lite-Instruct,Reflection-Llama-3.1-70B,294,294,294,1.0
DeepSeek-Coder-V2-Lite-Instruct,Smaug-Qwen2-72B-Instruct,40,40,294,0.1360544217687075
DeepSeek-Coder-V2-Lite-Instruct,Starling-LM-7B-beta,294,294,294,1.0
DeepSeek-Coder-V2-Lite-Instruct,Yi-6B-Chat,294,294,294,1.0
DeepSeek-Coder-V2-Lite-Instruct,acm_rewrite_qwen2-72B-Chat,254,254,294,0.8639455782312925
DeepSeek-Coder-V2-Lite-Instruct,amazon.nova-lite-v1:0,218,218,494,0.44129554655870445
DeepSeek-Coder-V2-Lite-Instruct,amazon.nova-micro-v1:0,218,218,494,0.44129554655870445
DeepSeek-Coder-V2-Lite-Instruct,amazon.nova-pro-v1:0,218,218,494,0.44129554655870445
DeepSeek-Coder-V2-Lite-Instruct,azerogpt,218,218,494,0.44129554655870445
DeepSeek-Coder-V2-Lite-Instruct,chatgpt-4o-latest-2025-01-29,218,218,494,0.44129554655870445
DeepSeek-Coder-V2-Lite-Instruct,chatgpt-4o-latest-2025-01-30,218,218,394,0.5532994923857868
DeepSeek-Coder-V2-Lite-Instruct,chatgpt-4o-latest-2025-03-27,294,294,494,0.5951417004048583
DeepSeek-Coder-V2-Lite-Instruct,claude-3-5-haiku-20241022,294,294,494,0.5951417004048583
DeepSeek-Coder-V2-Lite-Instruct,claude-3-5-opus-20240229,0,0,298,0.0
DeepSeek-Coder-V2-Lite-Instruct,claude-3-5-sonnet-20240620,294,294,394,0.7461928934010152
DeepSeek-Coder-V2-Lite-Instruct,claude-3-5-sonnet-20241022,294,294,494,0.5951417004048583
DeepSeek-Coder-V2-Lite-Instruct,claude-3-7-sonnet-20250219-base,218,218,494,0.44129554655870445
DeepSeek-Coder-V2-Lite-Instruct,claude-3-7-sonnet-20250219-thinking-25k,218,218,394,0.5532994923857868
DeepSeek-Coder-V2-Lite-Instruct,claude-3-7-sonnet-20250219-thinking-64k,218,218,494,0.44129554655870445
DeepSeek-Coder-V2-Lite-Instruct,claude-3-haiku-20240307,294,294,394,0.7461928934010152
DeepSeek-Coder-V2-Lite-Instruct,claude-3-opus-20240229,294,294,494,0.5951417004048583
DeepSeek-Coder-V2-Lite-Instruct,claude-3-sonnet-20240229,294,294,294,1.0
DeepSeek-Coder-V2-Lite-Instruct,codegen3_5k-qwen2.5-72b-instruct-2-chk-50,294,294,294,1.0
DeepSeek-Coder-V2-Lite-Instruct,coding-meta-llama-3.1-70b-instruct-chk-50,294,294,294,1.0
DeepSeek-Coder-V2-Lite-Instruct,coding2-amcfull-apifull-mmlu12k-meta-llama-3.1-70b-instruct-chk-150,294,294,294,1.0
DeepSeek-Coder-V2-Lite-Instruct,command-a-03-2025,0,0,444,0.0
DeepSeek-Coder-V2-Lite-Instruct,command-r-03-2024,294,294,344,0.8546511627906976
DeepSeek-Coder-V2-Lite-Instruct,command-r-08-2024,294,294,494,0.5951417004048583
DeepSeek-Coder-V2-Lite-Instruct,command-r-plus-04-2024,294,294,394,0.7461928934010152
DeepSeek-Coder-V2-Lite-Instruct,command-r-plus-08-2024,294,294,494,0.5951417004048583
DeepSeek-Coder-V2-Lite-Instruct,deepseek-chat,294,294,394,0.7461928934010152
DeepSeek-Coder-V2-Lite-Instruct,deepseek-coder,294,294,294,1.0
