language_model,default_id,default_sdk_version,metadata_agent_version,scores_swebench_agent_version,default_vs_metadata_match,default_vs_scores_match,metadata_vs_scores_match,actual_evaluation_version_source,upstream_result_directory
claude-fable-5,OpenHands/claude-fable-5,v1.18.1,v1.18.1,v1.28.0,True,False,False,scores.json:swe-bench.agent_version,results/claude-fable-5
claude-opus-4-8,OpenHands/claude-opus-4-8,v1.18.1,v1.18.1,v1.24.0,True,False,False,scores.json:swe-bench.agent_version,results/claude-opus-4-8
claude-opus-4-7,OpenHands/claude-opus-4-7,v1.11.0,v1.11.0,v1.24.0,True,False,False,scores.json:swe-bench.agent_version,results/claude-opus-4-7
claude-opus-4-6,OpenHands/claude-opus-4-6,v1.11.0,v1.11.0,v1.15.0,True,False,False,scores.json:swe-bench.agent_version,results/claude-opus-4-6
GPT-5.5,OpenHands/GPT-5.5,v1.18.1,v1.18.1,v1.18.1,True,True,True,scores.json:swe-bench.agent_version,results/GPT-5.5
GPT-5.4,OpenHands/GPT-5.4,v1.13.0,v1.13.0,v1.18.1,True,False,False,scores.json:swe-bench.agent_version,results/GPT-5.4
Gemini-3.5-Flash,OpenHands/Gemini-3.5-Flash,v1.24.0,v1.24.0,v1.28.0,True,False,False,scores.json:swe-bench.agent_version,results/Gemini-3.5-Flash
claude-opus-4-5,OpenHands/claude-opus-4-5,v1.8.3,v1.8.3,v1.8.3,True,True,True,scores.json:swe-bench.agent_version,results/claude-opus-4-5
Gemini-3.1-Pro,OpenHands/Gemini-3.1-Pro,v1.11.5,v1.11.5,v1.27.0,True,False,False,scores.json:swe-bench.agent_version,results/Gemini-3.1-Pro
GPT-5.2,OpenHands/GPT-5.2,v1.8.3,v1.8.3,v1.8.3,True,True,True,scores.json:swe-bench.agent_version,results/GPT-5.2
GPT-5.2-Codex,OpenHands/GPT-5.2-Codex,v1.8.3,v1.8.3,v1.8.3,True,True,True,scores.json:swe-bench.agent_version,results/GPT-5.2-Codex
GLM-5.1,OpenHands/GLM-5.1,v1.11.5,v1.11.5,v1.17.0,True,False,False,scores.json:swe-bench.agent_version,results/GLM-5.1
