model,coverage_question_count,joined_prompt_question_count,coverage_category_count,coverage_task_count,coding_question_count,data_analysis_question_count,instruction_following_question_count,language_question_count,math_question_count,reasoning_question_count,raw_judgment_count,deduplicated_judgment_count,average_score,joined_average_score,full_success_rate,joined_full_success_rate,missing_question_count,missing_rate,has_large_missing
DeepSeek-Coder-V2-Lite-Instruct,294,294,3,6,128,0,26,140,0,0,294,294,0.21194649839693044,0.21194649839693044,0.1870748299319728,0.1870748299319728,200,0.4048582995951417,True
DeepSeek-R1-Distill-Qwen-32B,318,318,3,6,128,0,50,140,0,0,318,318,0.3273683120450952,0.3273683120450952,0.2641509433962264,0.2641509433962264,176,0.3562753036437247,True
DeepSeek-V2-Lite-Chat,294,294,3,6,128,0,26,140,0,0,294,294,0.12787527617100328,0.12787527617100328,0.10204081632653061,0.10204081632653061,200,0.4048582995951417,True
Dracarys2-72B-Instruct,100,100,2,2,0,0,50,50,0,0,100,100,0.4608333333333334,0.4608333333333334,0.35,0.35,394,0.7975708502024291,True
Llama-2-7b-chat-hf,294,294,3,6,128,0,26,140,0,0,294,294,0.07802322265230772,0.07802322265230772,0.05102040816326531,0.05102040816326531,200,0.4048582995951417,True
Llama-3.1-Nemotron-70B-Instruct-HF,100,100,2,2,0,0,50,50,0,0,100,100,0.39258333333333334,0.39258333333333334,0.27,0.27,394,0.7975708502024291,True
Meta-Llama-3-70B-Instruct,294,294,3,6,128,0,26,140,0,0,294,294,0.33872930904423454,0.33872930904423454,0.2755102040816326,0.2755102040816326,200,0.4048582995951417,True
Meta-Llama-3-8B-Instruct,294,294,3,6,128,0,26,140,0,0,294,294,0.2383647863959857,0.2383647863959857,0.19727891156462585,0.19727891156462585,200,0.4048582995951417,True
Meta-Llama-3.1-405B-Instruct-Turbo,294,294,3,6,128,0,26,140,0,0,294,294,0.4974237037933364,0.4974237037933364,0.40476190476190477,0.40476190476190477,200,0.4048582995951417,True
Meta-Llama-3.1-70B-Instruct-Turbo,294,294,3,6,128,0,26,140,0,0,294,294,0.42225720417403506,0.42225720417403506,0.3469387755102041,0.3469387755102041,200,0.4048582995951417,True
